"V1","V2","V3","V4","V5","y"
800,0,0.3048,71.3,0.00266337,126.201
4000,0,0.3048,71.3,0.00266337,123.061
8000,0,0.3048,71.3,0.00266337,117.151
800,0,0.3048,55.5,0.00283081,128.086
2500,0,0.3048,55.5,0.00283081,124.106
3150,0,0.3048,55.5,0.00283081,123.236
10000,0,0.3048,55.5,0.00283081,113.076
400,0,0.3048,39.6,0.00310138,124.809
630,0,0.3048,39.6,0.00310138,128.629
1000,0,0.3048,39.6,0.00310138,127.899
1600,0,0.3048,39.6,0.00310138,124.049
3150,0,0.3048,39.6,0.00310138,120.319
6300,0,0.3048,39.6,0.00310138,116.229
8000,0,0.3048,39.6,0.00310138,114.779
200,0,0.3048,31.7,0.00331266,117.195
250,0,0.3048,31.7,0.00331266,118.595
1000,0,0.3048,31.7,0.00331266,127.365
1250,0,0.3048,31.7,0.00331266,124.355
2000,0,0.3048,31.7,0.00331266,122.375
2500,0,0.3048,31.7,0.00331266,120.755
4000,0,0.3048,31.7,0.00331266,118.145
8000,0,0.3048,31.7,0.00331266,110.515
10000,0,0.3048,31.7,0.00331266,108.265
6300,1.5,0.3048,71.3,0.00336729,118.122
400,1.5,0.3048,39.6,0.00392107,124.001
2000,1.5,0.3048,39.6,0.00392107,122.101
4000,1.5,0.3048,39.6,0.00392107,117.741
10000,1.5,0.3048,39.6,0.00392107,108.991
800,3,0.3048,71.3,0.00425727,129.494
1250,3,0.3048,71.3,0.00425727,127.634
1600,3,0.3048,71.3,0.00425727,126.514
4000,3,0.3048,71.3,0.00425727,120.264
500,3,0.3048,55.5,0.00452492,128.179
800,3,0.3048,55.5,0.00452492,129.949
1600,3,0.3048,55.5,0.00452492,124.439
2000,3,0.3048,55.5,0.00452492,123.069
2500,3,0.3048,55.5,0.00452492,122.439
5000,3,0.3048,55.5,0.00452492,117.309
6300,3,0.3048,55.5,0.00452492,115.679
10000,3,0.3048,55.5,0.00452492,112.169
400,3,0.3048,39.6,0.00495741,125.472
500,3,0.3048,39.6,0.00495741,127.632
630,3,0.3048,39.6,0.00495741,129.292
1000,3,0.3048,39.6,0.00495741,128.312
2500,3,0.3048,39.6,0.00495741,120.162
800,3,0.3048,31.7,0.00529514,128.708
1000,3,0.3048,31.7,0.00529514,126.838
2000,3,0.3048,31.7,0.00529514,120.088
2500,3,0.3048,31.7,0.00529514,119.598
3150,3,0.3048,31.7,0.00529514,118.108
5000,3,0.3048,31.7,0.00529514,113.858
250,4,0.3048,71.3,0.00497773,126.395
400,4,0.3048,71.3,0.00497773,129.575
1600,4,0.3048,71.3,0.00497773,126.645
2000,4,0.3048,71.3,0.00497773,124.395
250,4,0.3048,39.6,0.00579636,123.543
1250,4,0.3048,39.6,0.00579636,126.343
1600,4,0.3048,39.6,0.00579636,123.213
2000,4,0.3048,39.6,0.00579636,120.963
5000,4,0.3048,39.6,0.00579636,113.733
2000,0,0.2286,71.3,0.00214345,128.244
2500,0,0.2286,71.3,0.00214345,128.354
3150,0,0.2286,71.3,0.00214345,127.834
4000,0,0.2286,71.3,0.00214345,125.824
6300,0,0.2286,71.3,0.00214345,122.044
12500,0,0.2286,71.3,0.00214345,117.624
20000,0,0.2286,71.3,0.00214345,114.474
315,0,0.2286,55.5,0.00229336,119.54
1250,0,0.2286,55.5,0.00229336,127.91
2000,0,0.2286,55.5,0.00229336,126.54
3150,0,0.2286,55.5,0.00229336,125.16
4000,0,0.2286,55.5,0.00229336,123.41
630,0,0.2286,39.6,0.00253511,128.705
1000,0,0.2286,39.6,0.00253511,130.435
3150,0,0.2286,39.6,0.00253511,124.625
4000,0,0.2286,39.6,0.00253511,123.465
400,0,0.2286,31.7,0.0027238,123.635
500,0,0.2286,31.7,0.0027238,126.675
1600,0,0.2286,31.7,0.0027238,125.625
4000,0,0.2286,31.7,0.0027238,122.035
500,2,0.2286,71.3,0.00293031,126.486
1000,2,0.2286,71.3,0.00293031,128.956
1600,2,0.2286,71.3,0.00293031,127.796
2000,2,0.2286,71.3,0.00293031,126.896
4000,2,0.2286,71.3,0.00293031,124.086
5000,2,0.2286,71.3,0.00293031,122.816
8000,2,0.2286,71.3,0.00293031,115.996
630,2,0.2286,55.5,0.00313525,126.842
800,2,0.2286,39.6,0.00346574,129.037
630,2,0.2286,31.7,0.00372371,129.057
1600,2,0.2286,31.7,0.00372371,125.797
2500,2,0.2286,31.7,0.00372371,121.407
800,4,0.2286,71.3,0.00400603,130.688
1600,4,0.2286,71.3,0.00400603,129.468
2000,4,0.2286,71.3,0.00400603,126.218
5000,4,0.2286,71.3,0.00400603,121.118
8000,4,0.2286,71.3,0.00400603,112.848
800,4,0.2286,55.5,0.0042862,131.864
1600,4,0.2286,55.5,0.0042862,128.264
2000,4,0.2286,55.5,0.0042862,124.254
2500,4,0.2286,55.5,0.0042862,122.384
3150,4,0.2286,55.5,0.0042862,122.394
4000,4,0.2286,55.5,0.0042862,120.654
5000,4,0.2286,55.5,0.0042862,120.034
6300,4,0.2286,55.5,0.0042862,117.154
400,4,0.2286,39.6,0.00473801,123.879
500,4,0.2286,39.6,0.00473801,127.039
3150,4,0.2286,39.6,0.00473801,120.419
6300,4,0.2286,39.6,0.00473801,114.249
8000,4,0.2286,39.6,0.00473801,113.129
800,4,0.2286,31.7,0.00509068,130.869
1000,4,0.2286,31.7,0.00509068,129.869
3150,4,0.2286,31.7,0.00509068,120.229
4000,4,0.2286,31.7,0.00509068,118.859
5000,4,0.2286,31.7,0.00509068,115.969
6300,4,0.2286,31.7,0.00509068,112.699
400,5.3,0.2286,71.3,0.0051942,127.7
630,5.3,0.2286,71.3,0.0051942,131.8
2000,5.3,0.2286,71.3,0.0051942,125.89
2500,5.3,0.2286,71.3,0.0051942,123.74
4000,5.3,0.2286,71.3,0.0051942,120.33
6300,5.3,0.2286,71.3,0.0051942,116.92
1000,5.3,0.2286,39.6,0.00614329,125.581
2000,5.3,0.2286,39.6,0.00614329,117.911
500,7.3,0.2286,71.3,0.0104404,136.798
1250,7.3,0.2286,71.3,0.0104404,127.358
3150,7.3,0.2286,71.3,0.0104404,120.458
4000,7.3,0.2286,71.3,0.0104404,119.208
200,7.3,0.2286,55.5,0.0111706,135.234
250,7.3,0.2286,55.5,0.0111706,136.384
1250,7.3,0.2286,55.5,0.0111706,125.724
2000,7.3,0.2286,55.5,0.0111706,120.354
4000,7.3,0.2286,55.5,0.0111706,117.284
630,7.3,0.2286,39.6,0.0123481,128.929
1600,7.3,0.2286,39.6,0.0123481,121.059
2000,7.3,0.2286,39.6,0.0123481,117.809
5000,7.3,0.2286,39.6,0.0123481,111.959
500,7.3,0.2286,31.7,0.0132672,128.169
630,7.3,0.2286,31.7,0.0132672,126.189
1000,7.3,0.2286,31.7,0.0132672,119.099
1250,7.3,0.2286,31.7,0.0132672,120.509
2000,7.3,0.2286,31.7,0.0132672,115.309
800,0,0.1524,71.3,0.0015988,125.817
