"V1","V2","V3","V4","V5","y"
1000,3.3,0.1016,39.6,0.00245138,131.971
400,15.6,0.1016,39.6,0.0528487,120.484
4000,12.3,0.1016,55.5,0.0368233,114.404
2500,0,0.1524,55.5,0.00172668,127.763
3150,12.6,0.1524,71.3,0.0483159,113.334
500,0,0.2286,39.6,0.00253511,126.195
200,9.9,0.1524,71.3,0.0193001,134.319
800,12.3,0.1016,71.3,0.0337792,127.318
12500,4.8,0.0254,71.3,0.000848633,127.688
1000,8.4,0.0508,31.7,0.00580776,129.516
3150,4,0.3048,71.3,0.00497773,121.775
630,4.8,0.0254,31.7,0.000930789,120.078
4000,12.3,0.1016,39.6,0.0408268,110.905
500,5.4,0.1524,39.6,0.00485029,129.937
250,12.7,0.0254,71.3,0.0121808,119.698
3150,2,0.2286,55.5,0.00313525,123.742
3150,19.7,0.0508,71.3,0.0341183,116.225
4000,15.4,0.0508,39.6,0.0282593,118.113
1600,3.3,0.1016,55.5,0.002211,133.649
1000,0,0.2286,55.5,0.00229336,128.29
1250,3,0.3048,39.6,0.00495741,125.802
5000,12.3,0.1016,71.3,0.0337792,116.108
1600,3,0.3048,31.7,0.00529514,122.088
315,22.2,0.0254,71.3,0.0214178,115.857
4000,15.4,0.0508,55.5,0.0271925,120.92
3150,2,0.2286,39.6,0.00346574,121.627
6300,0,0.2286,55.5,0.00229336,118.41
10000,7.2,0.1524,71.3,0.00752039,110.313
1250,0,0.1016,39.6,0.00146332,132.271
5000,17.4,0.0254,39.6,0.0172206,119.854
1000,0,0.1524,71.3,0.0015988,127.307
800,9.9,0.1524,71.3,0.0193001,128.879
4000,0,0.1524,71.3,0.0015988,128.857
5000,3.3,0.1016,55.5,0.002211,124.839
1250,2,0.2286,71.3,0.00293031,128.816
6300,9.9,0.1524,31.7,0.0252785,108.689
1600,1.5,0.3048,39.6,0.00392107,122.211
1000,4,0.3048,39.6,0.00579636,128.723
1250,2,0.2286,39.6,0.00346574,128.257
10000,0,0.0508,31.7,0.000812164,122.45
800,7.3,0.2286,39.6,0.0123481,126.299
3150,9.5,0.0254,71.3,0.00420654,136.166
800,2,0.2286,31.7,0.00372371,130.307
500,2,0.2286,31.7,0.00372371,126.677
630,15.4,0.0508,39.6,0.0282593,127.443
5000,7.3,0.2286,71.3,0.0104404,115.298
3150,8.4,0.0508,31.7,0.00580776,122.086
3150,4,0.3048,39.6,0.00579636,118.743
200,11.2,0.0508,39.6,0.0150478,125.01
315,17.4,0.0254,31.7,0.0176631,118.416
400,5.3,0.2286,39.6,0.00614329,131.221
1000,0,0.1524,39.6,0.00193287,130.033
5000,7.2,0.1524,39.6,0.00909175,113.288
5000,4,0.2286,39.6,0.00473801,117.649
5000,5.3,0.2286,39.6,0.00614329,115.311
315,0,0.3048,39.6,0.00310138,122.779
6300,15.4,0.0508,71.3,0.0264269,115.215
630,0,0.2286,31.7,0.0027238,129.465
4000,8.4,0.0508,39.6,0.00566229,118.955
4000,9.5,0.0254,55.5,0.0043284,131.582
2500,1.5,0.3048,71.3,0.00336729,124.512
6300,4.2,0.0508,39.6,0.00152689,125.717
315,2,0.2286,39.6,0.00346574,120.137
3150,9.9,0.1524,31.7,0.0252785,112.209
1000,0,0.3048,55.5,0.00283081,126.966
4000,5.4,0.1524,71.3,0.00401199,121.431
500,4,0.2286,31.7,0.00509068,128.939
2000,2,0.2286,55.5,0.00313525,124.612
1600,7.2,0.1524,39.6,0.00909175,120.058
1600,5.4,0.1524,39.6,0.00485029,126.267
5000,0,0.0508,71.3,0.000740478,134.43
5000,0,0.0508,39.6,0.000791822,134.308
1000,8.9,0.1016,39.6,0.0124596,129.58
6300,12.7,0.0254,39.6,0.0130253,123.177
1600,4.2,0.0508,39.6,0.00152689,130.197
200,17.4,0.0254,31.7,0.0176631,116.146
2500,0,0.3048,71.3,0.00266337,125.571
2500,22.2,0.0254,71.3,0.0214178,126.097
800,0,0.0508,39.6,0.000791822,126.508
2500,4.8,0.0254,71.3,0.000848633,130.828
5000,9.5,0.0254,71.3,0.00420654,131.186
2000,8.9,0.1016,71.3,0.0103088,124.233
200,17.4,0.0254,71.3,0.016104,112.506
500,2,0.2286,39.6,0.00346574,125.157
2500,0,0.2286,39.6,0.00253511,125.025
800,2.7,0.1524,39.6,0.00294804,128.829
1600,3.3,0.1016,39.6,0.00245138,133.071
315,12.3,0.1016,31.7,0.0418756,124.717
12500,0,0.3048,39.6,0.00310138,109.619
800,4,0.3048,71.3,0.00497773,131.755
1000,0,0.1016,55.5,0.00131983,129.8
400,5.4,0.1524,39.6,0.00485029,127.637
4000,7.2,0.1524,39.6,0.00909175,114.258
1250,2,0.2286,55.5,0.00313525,128.762
5000,0,0.3048,71.3,0.00266337,121.301
800,19.7,0.0508,39.6,0.036484,119.174
630,4,0.2286,39.6,0.00473801,129.579
4000,0,0.3048,39.6,0.00310138,119.229
1600,12.3,0.1016,31.7,0.0418756,114.477
315,8.9,0.1016,39.6,0.0124596,135.38
10000,2.7,0.1524,39.6,0.00294804,112.589
1250,0,0.0508,71.3,0.000740478,128.56
315,15.4,0.0508,71.3,0.0264269,126.195
4000,15.6,0.1016,39.6,0.0528487,106.604
6300,0,0.1016,71.3,0.00121072,129.395
800,8.9,0.1016,39.6,0.0124596,130.94
1000,5.3,0.2286,71.3,0.0051942,134
315,17.4,0.0254,39.6,0.0172206,115.144
8000,0,0.1016,55.5,0.00131983,124.45
16000,0,0.0254,39.6,0.000428464,124.986
5000,0,0.1524,55.5,0.00172668,125.203
2000,12.7,0.0254,39.6,0.0130253,129.567
2500,7.3,0.2286,55.5,0.0111706,118.994
500,6.7,0.1016,39.6,0.00578076,130.955
3150,5.4,0.1524,31.7,0.00525474,118.291
1250,3,0.3048,31.7,0.00529514,124.838
10000,3,0.3048,71.3,0.00425727,110.224
1250,0,0.1524,71.3,0.0015988,128.927
12500,0,0.0508,39.6,0.000791822,123.988
5000,0,0.2286,55.5,0.00229336,122.41
250,9.5,0.0254,31.7,0.00461377,120.136
10000,4,0.3048,71.3,0.00497773,110.905
1600,0,0.2286,39.6,0.00253511,127.095
400,6.7,0.1016,31.7,0.00592927,128.296
315,11.2,0.0508,71.3,0.014072,128.381
630,4,0.2286,31.7,0.00509068,130.349
800,5.3,0.2286,39.6,0.00614329,129.491
800,4,0.3048,39.6,0.00579636,130.723
2500,9.9,0.1524,71.3,0.0193001,119.639
3150,0,0.0508,39.6,0.000791822,135.938
2000,0,0.0254,55.5,0.00041229,127.623
315,15.6,0.1016,71.3,0.0437259,133.808
5000,17.4,0.0254,71.3,0.016104,123.126
250,15.4,0.0508,71.3,0.0264269,124.835
200,17.4,0.0254,55.5,0.0165706,109.951
10000,3.3,0.1016,55.5,0.002211,115.659
3150,0,0.0508,71.3,0.000740478,135.07
3150,3,0.3048,55.5,0.00452492,120.189
400,15.4,0.0508,39.6,0.0282593,125.353
1600,17.4,0.0254,39.6,0.0172206,127.614
