"y","displacement","horsepower","weight","acceleration"
27.2,141,71,3190,24.8
11,400,150,4997,14
29,85,52,2035,22.2
23.8,151,85,2855,17.6
25.5,122,96,2300,15.5
24,116,75,2158,15.5
40.8,85,65,2110,19.2
20,232,100,2914,16
24,107,90,2430,14.5
23,97,54,2254,23.5
12,429,198,4952,11.5
30.9,105,75,2230,14.5
25.4,183,77,3530,20.1
18.2,318,135,3830,15.2
13,318,150,3940,13.2
18,225,105,3613,16.5
31,79,67,2000,16
16,318,150,4190,13
25,110,87,2672,17.5
24.2,146,120,2930,13.8
20.2,232,90,3265,18.2
31.5,98,68,2045,18.5
18,250,88,3021,16.5
29,97,75,2171,16
19.9,260,110,3365,15.5
25,90,71,2223,16.5
11,350,180,3664,11
31.9,89,71,1925,14
19.4,318,140,3735,13.2
18,318,150,3436,11
28,107,86,2464,15.5
14,302,137,4042,14.5
14,318,150,4096,13
17.6,225,85,3465,16.6
29.5,98,68,2135,16.6
17.5,318,140,4080,13.7
26.6,350,105,3725,19
28,140,90,2264,15.5
19.2,267,125,3605,15
16.9,350,155,4360,14.9
44.6,91,67,1850,13.8
17.5,305,140,4215,13
37,85,65,1975,19.4
13,302,140,4294,16
29,90,70,1937,14
19.1,225,90,3381,18.7
22,146,97,2815,14.5
26,98,90,2265,15.5
32.3,97,67,2065,17.8
25,113,95,2228,14
24.5,98,60,2164,22.1
24.5,151,88,2740,16
31.3,120,75,2542,17.5
27,97,60,1834,19
15,304,150,3892,12.5
17,305,130,3840,15.4
23.9,119,97,2405,14.9
22,121,98,2945,14.5
21,200,85,2587,16
14,351,153,4154,13.5
24,140,92,2865,16.4
27.5,134,95,2560,14.2
21,140,72,2401,19.5
15,318,150,4135,13.5
15.5,318,145,4140,13.7
27,151,90,2735,18
15,318,150,3399,11
28,151,90,2678,16.5
38,105,63,2125,14.7
24,119,97,2545,17
15,429,198,4341,10
29,90,70,1937,14.2
34.1,91,68,1985,16
13,400,170,4746,12
36.1,91,60,1800,16.4
31,112,85,2575,16.2
17,163,125,3140,13.6
20.5,231,105,3425,16.9
18,199,97,2774,15.5
15.5,351,142,4054,14.3
34.2,105,70,2200,13.2
32.9,119,100,2615,14.8
18,250,88,3139,14.5
18,225,95,3785,19
39,86,64,1875,16.4
25,97.5,80,2126,17
21,155,107,2472,14
25.4,168,116,2900,12.6
14,455,225,4425,10
37,119,92,2434,15
20.2,200,88,3060,17.1
11,318,210,4382,13.5
35,72,69,1613,18
30,111,80,2155,14.8
32.4,107,72,2290,17
18.5,250,98,3525,19
31,119,82,2720,19.4
17,231,110,3907,21
21.5,80,110,2720,13.5
16,400,230,4278,9.5
14,440,215,4312,8.5
28,97,92,2288,17
26,108,93,2391,15.5
19,122,85,2310,18.5
20.5,200,95,3155,18.2
26,96,69,2189,18
13,318,150,3755,14
18.5,250,110,3645,16.2
14,318,150,4077,14
18,171,97,2984,14.5
15,302,130,4295,14.9
19.4,232,90,3210,17.2
33,91,53,1795,17.5
26,122,80,2451,16.5
39.4,85,70,2070,18.6
36,105,74,1980,15.3
14,302,140,4638,16
26,79,67,1963,15.5
17.5,305,145,3880,12.5
24,121,110,2660,14
16.5,350,180,4380,12.1
13,350,155,4502,13.5
23.7,70,100,2420,12.5
36,135,84,2370,13
26,97,78,2300,14.5
33.7,107,75,2210,14.4
27.2,119,97,2300,14.7
22.5,232,90,3085,17.6
37.3,91,69,2130,14.7
23.9,260,90,3420,22.2
13,360,175,3821,11
38,91,67,1965,15
13,302,129,3169,12
27.2,135,84,2490,15.7
20,140,90,2408,19.5
17,304,150,3672,11.5
30,98,68,2155,16.5
15,383,170,3563,10
19,70,97,2330,13.5
15,350,165,3693,11.5
31.6,120,74,2635,18.3
18,307,130,3504,12
20,225,100,3651,17.7
14,455,225,3086,10
34.3,97,78,2188,15.8
32,144,96,2665,13.9
32,91,67,1965,15.7
16,250,105,3897,18.5
18,70,90,2124,13.5
20.2,200,85,2965,15.8
20,114,91,2582,14
44.3,90,48,2085,21.7
25.8,156,92,2620,14.4
15,350,145,4440,14
43.4,90,48,2335,23.7
14,318,150,4237,14.5
16,250,100,3781,17
21,199,90,2648,15
21,231,110,3039,15
16,225,105,3439,15.5
31.8,85,65,2020,19.2
18,232,100,2945,16
12,455,225,4951,11
18.6,225,110,3620,18.7
24,113,95,2278,15.5
30.5,97,78,2190,14.1
13,440,215,4735,11
12,400,167,4906,12.5
20.6,225,110,3360,16.6
31,71,65,1773,19
38,91,67,1995,16.2
32,83,61,2003,19
17.6,302,129,3725,13.4
32.8,78,52,1985,19.4
19,232,90,3211,17
14,304,150,4257,15.5
17.5,258,95,3193,17.8
18.1,302,139,3205,11.2
14,400,175,4464,11.5
18,258,110,2962,13.5
46.6,86,65,2110,17.9
36.4,121,67,2950,19.9
23.5,173,110,2725,12.6
28,112,88,2605,19.6
26,91,70,1955,20.5
37.2,86,65,2019,16.4
16,400,180,4220,11.1
27,112,88,2640,18.6
14.5,351,152,4215,12.8
20,97,88,2279,19
22,140,72,2408,19
33,91,53,1795,17.4
19,156,108,2930,15.5
26,116,75,2246,14
18,232,100,2789,15
21.5,121,110,2600,12.8
23,120,88,2957,17
19.2,305,145,3425,13.2
22,250,105,3353,14.5
13,350,145,3988,13
27,97,88,2130,14.5
16,318,150,4498,14.5
28,98,80,2164,15
29.8,89,62,1845,15.3
26,156,92,2585,14.5
28.1,141,80,3230,20.4
36,120,88,2160,14.5
29,135,84,2525,16
26,97,46,1950,21
13,400,150,4464,12
20,156,122,2807,13.5
28,120,79,2625,18.6
22,198,95,2833,15.5
13,400,190,4422,12.5
43.1,90,48,1985,21.5
25,181,110,2945,16.4
21,122,86,2226,16.5
23,140,83,2639,17
33.5,98,83,2075,15.9
15,250,72,3158,19.5
34.4,98,65,2045,16.2
16,400,170,4668,11.5
25,104,95,2375,17.5
12,350,180,4499,12.5
13,350,175,4100,13
17,302,140,3449,10.5
31.5,89,71,1990,14.9
24,200,81,3012,17.6
13,350,145,4055,12
35,122,88,2500,15.1
30,88,76,2065,14.5
10,307,200,4376,15
19,121,112,2868,15.5
33.8,97,67,2145,18
35.7,98,80,1915,14.4
14,351,148,4657,13.5
10,360,215,4615,14
41.5,98,76,2144,14.7
25,140,75,2542,17
11,429,208,4633,11
13,351,158,4363,13
15,250,72,3432,21
30.5,98,63,2051,17
14,304,150,3672,11.5
34,112,88,2395,18
17.7,231,165,3445,13.4
37,91,68,2025,18.2
37.7,89,62,2050,17.3
34.7,105,63,2215,14.9
29.5,97,71,1825,12.2
14,400,175,4385,12
17.5,250,110,3520,16.4
27.9,156,105,2800,14.4
26.5,140,72,2565,13.6
26,121,113,2234,12.5
13,350,165,4274,12
35.1,81,60,1760,16.1
29.8,134,90,2711,15.5
19,120,88,3270,21.9
29.9,98,65,2380,20.7
16,258,110,3632,18
21.5,231,115,3245,15.4
17,250,100,3329,15.5
19,232,100,2901,16
31,91,68,1970,17.6
13,307,130,4098,14
24,90,75,2108,15.5
29,68,49,1867,19.5
19.2,231,105,3535,19.2
15,318,150,3777,12.5
15.5,304,120,3962,13.9
25,140,92,2572,14.9
32,71,65,1836,21
18,232,100,3288,15.5
