"Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","y"
446,24,79,162,11.6,967,712,3,35.36
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
225,0,0,181,0,1113,833,7,11.17
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
310,143,111,168,22,914,651,28,33.69
446,24,79,162,11.6,967,712,28,57.03
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
139.6,209.4,0,192,0,1047,806.9,28,28.24
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
155,0,143,193,9,1047,697,28,12.46
295.8,0,0,185.7,0,1091.4,769.3,28,25.22
439,177,0,186,11.1,884.9,707.9,3,39.3
212,0,124.8,159,7.8,1085.4,799.5,56,45.08
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
155,184,143,194,9,880,699,28,28.99
382,0,0,185,0,1047,739,28,37.42
298.1,0,107,186.4,6.1,879,815.2,28,42.64
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
234,156,0,189,5.9,981,760,28,39.3
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
289,0,0,192,0,913.2,895.3,90,32.07
145,0,134,181,11,979,812,28,13.2
266,112,87,178,10,910,745,28,39.42
322,0,116,196,10,818,813,28,31.18
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
284,120,0,168,7,970,794,28,40.93
277,0,0,191,0,968,856,14,21.26
102,153,0,192,0,887,942,7,7.68
238.1,0,94.1,186.7,7,949.9,847,56,39.59
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
