"AT","V","AP","RH","y"
32.9,68.51,1012.95,50.09,430.23
30.03,68.84,1011.41,53.82,439.31
7.84,43.52,1022.23,96.51,483.79
14.79,38.73,999.83,86.45,470.28
14.81,39.58,1011.62,73.64,467.32
14.48,39,1016.75,75.97,464.56
16.41,41.48,1016.28,45.19,451.93
19.83,59.21,1012.67,96.42,440.03
30.91,69.75,1010.23,59.36,435.7
15.69,37.87,1022.63,87.71,462.16
23.35,47.01,1015.03,73.9,456.3
12,41.5,1013.21,86.75,473.68
19.47,50.9,1012.77,77.33,457.08
4.78,42.85,1013.39,93.36,481.47
33.63,77.54,1009.82,58.04,431.81
13.92,39.58,1012.5,80.28,465.67
24.26,66.44,1011.33,55.32,445.63
14.39,44.84,1023.55,91.14,464.15
28.32,72.58,1007.77,78.35,428.06
18.85,67.32,1012.91,82.37,446.7
14.19,39.52,1018.34,77.25,467.14
28.75,57.55,1004.77,57.55,435.33
20.25,44.78,1007.93,40.16,462.44
11.76,39.28,1016.9,91.06,478.07
23.24,63.78,1017.1,63.8,446.95
20.14,65.06,1014.81,80.01,444.84
21.02,61.5,1008.52,77.74,448.08
6.02,41.38,1021.2,88.71,490.57
15.75,39.39,1014.38,76.29,468.6
7,41.55,1001.43,97.12,483.92
12.19,40.23,1017.45,82.07,474.91
31.18,77.95,1014.89,65.62,431.58
30.08,67.25,1017.6,53.09,434.01
16.5,39.72,1003.05,65.99,459.06
27.38,59.21,1012.74,53.53,437.78
11.79,45.09,1013.16,89.17,469.49
21.55,44.57,1006.03,71.54,446.84
26.81,56.57,1013.68,61.6,442.94
6.05,42.85,1013.09,91.88,485.02
10.64,39.61,1018.33,66.81,471.48
21.25,66.86,1012.99,60.65,455.72
23.31,60.37,1005.17,82.75,438.52
28.33,68.27,1008.09,50.37,432.66
10.4,40.43,1025.46,75.09,492.09
23.25,56.9,1006.82,76.37,442.76
15.12,52.05,1014.63,80.38,464.78
20.32,39.72,1002,51.71,458.8
16.29,44.34,1019.49,59.36,468.8
29.34,71.98,1005.19,75.19,428.24
26.75,70.32,1007.61,54.09,433.46
33.68,68.14,1002.75,56.05,427.53
12.08,41.39,1019.45,78.3,477.8
35.03,68.27,1006.55,43.82,426.22
25.36,61.41,1011.89,55.64,452.29
31.01,73.5,1010.92,48.61,432.41
26.13,48.06,1013.5,47.67,440.99
8.99,36.3,1027.08,73.98,478.95
12.74,49.83,1007.44,91.47,466.09
24.23,58.79,1009.8,75.75,444.01
22.63,57.17,1009.83,77.43,433.54
30.49,70.32,1011.34,66.33,434.76
18.06,52.08,1003.73,100.09,452.19
21.55,44.05,1005.69,84.05,443.48
27.44,47.93,1002.71,59.44,437.76
9.43,41.4,1028.81,85.83,475.8
27.4,69.84,1002.98,76.48,430.54
