"V1","V2","V4","V5","V6","y"
9.23,11,5.453,2.887,0.495,6.723
0,0,3.124,1.8,1.417,4.34
69.67,97.435,3.122,3.723,1.26,7.371
34.14,50.29,0.076,1.654,1.493,3.323
122.22,155.543,1.406,3.511,1.456,2.593
18.46,22,1.262,2.147,1.576,2.272
3.24,3.124,9.148,5.497,1.559,5.96
37.3,67.828,3.23,2.63,1.166,4.355
12.03,18.011,1.587,1.654,1.732,2.352
132.42,196.332,4.478,4.984,1.087,5.44
40.46,85.367,5.255,3.001,0.485,4.838
0,0,3.259,2.048,1.111,3.772
17.07,25.145,1.947,2.005,1.276,3.061
0,0,3.267,2.119,1.25,4.867
0,0,3.374,2.118,1.204,3.522
29.1,43.156,3.076,2.438,0.773,4.714
37.3,67.828,0.133,1.401,1.582,3.17
40.46,85.367,0.706,1.768,1.594,1.22
37.3,67.828,0.996,1.746,1.547,3.358
20.23,42.683,5.089,3.049,1.247,6.064
45.61,28.269,2.275,2.445,1.29,4.474
44.45,16.786,2.539,1.84,0.92,5.429
38.33,54.156,1.737,2.472,0.638,6.848
9.23,11,2.274,2.15,1.754,3.7
46.15,54.999,2.11,3.866,1.521,5.291
0,0,3.562,2.281,1.15,5.548
121.26,6.249,2.869,3.095,0.862,6.188
20.23,42.683,0.347,1.334,1.768,0.935
92.31,70.941,2.195,3.082,0.999,7.044
62.73,86.378,2.273,2.478,1.254,3.331
107.65,178.917,4.219,3.945,1.078,5.03
26.3,36.145,0.996,1.723,1.805,2.827
52.33,62.438,0.567,2.239,1.542,2.668
9.23,11,0.8,1.509,2.003,1.73
95.37,54.336,2.433,2.915,1.394,8.564
21.26,29.011,2.826,2.709,1.184,5.036
38.8,0,0.845,1.155,1.177,5.562
74.57,147.153,1.789,3.373,1.175,3.432
23.55,31.394,0.16,1.7,2.092,1.601
121.26,6.249,0.454,2.227,0.677,6.059
36.6,20.263,1.354,1.89,2.073,1.43
181.62,324.873,-0.392,3.629,0.863,3.573
111.56,99.4,0.658,3.426,1.189,2.685
96.3,102.044,-0.463,2.434,1.256,5.12
75.99,73.774,0.787,2.266,1.185,5.551
38.33,54.156,2.222,2.725,1.012,5.942
70.14,50.908,-0.792,1.401,0.647,3.979
12.03,18.011,1.859,1.989,1.062,5.79
29.46,53.683,2.736,2.183,0.62,5.527
35.25,43.897,1.246,2.046,1.081,5.642
29.46,53.683,1.246,2.046,1.114,3.48
9.23,11,1.859,1.989,1.164,3.432
102.02,101.265,2.273,2.459,1.086,4.288
0,0,3.562,2.031,1.15,5.45
26.02,32.897,1.859,1.918,0.917,5.168
20.23,42.683,1.859,1.918,0.949,3.76
20.23,42.683,1.859,1.908,0.949,3.863
28.24,0,3.169,2.224,0.711,4.756
0,0,6.166,2.959,0.57,8.271
0,0,1.817,1.225,0.502,3.254
60.98,61.404,3.429,2.749,1.08,5.3
0,0,5.124,2.515,0.456,6.777
0,0,1.672,1.334,0.562,2.642
0,0,2.604,1.43,0.505,3.842
0,0,2.226,1.401,0.826,3.339
0,0,2.081,1.509,0.685,4.322
18.46,22,1.466,2.15,1.22,2.937
67.34,94.527,-0.297,1.604,1.682,3.044
0,0,4.063,1.96,0.499,4.75
20.23,42.683,3.046,2.027,0.602,5.632
20.23,42.683,2.461,1.975,0.737,5.691
0,0,3.795,1.975,0.657,5.42
0,0,5.989,2.733,0.529,6.989
75.13,100.774,4.512,3.662,0.702,6.65
45.82,50.747,2.509,2.119,0.617,4.31
0,0,4.416,2.605,0.723,5.626
0,0,3.945,2.344,0.678,5.5
0,0,3.478,1.918,0.575,4.304
45.82,50.747,2.509,2.108,0.617,3.84
0,0,2.876,1.857,0.699,3.918
0,59.84,1.817,1.43,1.988,2.018
75.39,67.204,2.981,2.784,1.072,6.475
98.18,62.119,0.796,1.84,0.743,6.251
237.75,223.047,0.083,3.249,1.04,2.928
166.75,250.102,1.632,5.369,1.145,4.27
48.02,61.166,2.589,2.919,0.826,4.234
43.09,58.042,2.481,2.133,0.506,2.348
84.13,65.794,-1.434,1.225,0.335,3.884
70.14,50.908,1.294,2.203,0.591,3.476
68.01,92.593,-0.283,2.17,0.893,3.775
26.02,32.897,2.127,1.924,0.597,6.409
74.92,138.783,3.16,2.827,1.14,5.301
37.3,67.828,3.696,3.117,1.149,5.17
73.22,61.166,-1.202,1.795,0.599,3.769
34.14,50.29,0.076,1.84,1.493,3.788
20.31,28.269,-0.273,1.401,2.073,0.704
30.21,36.145,2.265,2.344,0.923,4.032
60.13,76.448,2.288,2.848,1.591,3.22
37.3,67.828,4.548,3.101,1.137,4.56
115.14,206.609,-1.169,2.333,1.496,2.736
46.53,78.828,2.086,2.455,0.941,3.047
57.53,110.512,1.643,2.09,0.814,3.068
84.58,129.736,0.925,3.178,1.263,3.902
38.69,64.683,-0.129,2.15,1.971,1.53
138.45,281.245,1.442,3.878,1.205,5.291
20.23,42.683,3.127,2.605,0.797,4.668
20.23,42.683,2.637,2.344,0.758,4.61
20.23,42.683,2.127,1.908,0.633,4.238
56.15,36.022,-0.665,1.726,0.676,3.589
61.52,41.93,3.447,2.307,0.662,4.932
44.45,16.786,3.648,2.427,0.757,6.099
44.45,16.786,3.265,2.134,0.637,6.131
50.93,0,0.552,2.485,1.147,2.54
118.06,85.367,-0.081,1.768,1.061,3.758
157.69,194.924,1.543,2.527,0.647,3.43
91.64,101.494,2.239,2.334,0.884,3.718
91.64,101.494,2.507,2.334,0.543,5.402
45.82,50.747,3.11,2.141,0.478,4.62
45.82,50.747,1.887,2.048,0.842,3.615
12.89,16.786,2.066,2.284,0.867,3.711
28.24,0,2.851,2.176,0.656,3.357
12.89,16.786,0.468,1.8,1.038,1.815
28.24,0,1.173,1.667,0.667,2.421
278.8,413.191,-0.321,6.439,1.557,4.779
0,0,3.374,2.075,1.204,3.792
23.79,31.059,-0.317,1.155,1.403,1.057
26.3,36.145,2.754,2.454,1.421,4.886
58.11,32.897,-0.317,1.225,0.575,3.638
38.33,54.156,2.378,2.587,1.055,4.762
40.46,85.367,3.956,3.123,0.959,5.37
0,0,3.477,1.857,1.429,4.819
0,0,4.203,1.997,1.625,5.47
47.36,56.055,3.373,3.471,0.992,4.943
94.88,104.618,4.066,3.016,1.314,7.012
45.61,28.269,3.092,2.814,0.948,5.548
20.31,28.269,2.821,2.502,1.283,3.078
62.73,86.378,2.59,2.546,1.277,3.601
54.57,41.028,4.449,2.988,1.497,6.56
82.67,47.447,3.747,2.935,1.513,8.113
3.24,3.124,4.761,3.273,1.052,5.551
12.03,18.011,-0.172,1.155,2.177,2.958
47.56,65.155,1.57,2.644,1.376,4.91
18.46,22,4.268,3.164,0.857,7.087
46.53,78.828,2.758,2.856,1.022,3.794
36.28,22.156,-0.317,1.225,1.333,0.495
7.76,0,1.586,2.674,1.166,4.823
45.82,50.747,2.241,2.119,0.942,4.01
