"V1","V2","V4","V5","V6","y"
59.32,93.164,4.279,3.962,0.907,9.133
88.03,86.378,2.273,2.575,1.159,3.63
0,0,3.958,2.488,0.802,3.575
44.45,16.786,1.157,1.334,0.685,5.418
0,44.88,2.419,1.509,0.731,3.954
64.18,0,-0.049,1.155,1.5,4.56
129.95,30.53,1.145,2.637,1.444,9.15
65.57,76.79,0.489,1.999,1.533,7.699
49.33,85.839,1.06,2.272,1.007,4.216
132.86,33.571,2.892,3.487,0.572,3.619
41.57,57.28,0.734,2.548,1.853,3.25
42.52,44.313,4.746,2.905,0.916,4.711
74.57,132.193,1.671,3.501,1.095,3.742
0,0,2.942,1.908,1.063,3.791
140.02,119.209,-0.812,2.478,0.926,7.378
134.73,159.536,1.649,2.527,0.818,3.138
56.79,76.155,1.064,2.72,1.346,6.883
75.74,93.694,2.195,4.365,1.086,5.132
72.68,73.324,0.403,2.355,1.424,2.572
0,0,3.291,1.549,2,4.927
20.23,42.683,3.314,2.031,0.409,4.864
115.41,71.512,1.919,2.72,1.291,7.671
54.57,41.028,3.234,2.901,1.984,4.862
121.26,6.249,1.761,2.66,0.779,5.976
59.32,123.084,4.217,4.111,0.994,8.678
0,0,6.47,2.821,0.469,8.44
47.58,62.119,3.133,2.324,0.467,6.21
94.88,149.498,4.207,3.047,1.283,6.24
96.31,77.727,1.126,3.536,1.157,3.594
0,0,4.416,2.591,0.723,5.641
12.89,16.786,3.051,2.727,0.8,4.851
40.46,85.367,3.306,2.832,0.917,4.301
64.16,92.47,3.613,4.245,1.175,4.835
43.24,59.409,4.396,3.542,0.91,4.579
86.34,105.331,1.616,2.97,0.983,4.168
71.84,83.644,1.969,2.168,0.531,4.489
58.2,86.311,3.652,3.557,1.237,4.249
29.46,53.683,1.246,2.031,1.114,3.68
42.52,44.313,2.777,2.643,1.055,4.57
20.23,42.683,1.94,1.997,1.61,3.226
9.23,11,4.19,2.225,0.58,7.012
20.23,42.683,2.127,1.924,0.633,4.426
63.22,80.144,1.936,3.852,1.151,8.028
52.04,65.794,0.893,1.918,0.732,4.263
20.23,42.683,3.909,2.12,0.281,5.56
64.63,90.3,1.651,2.785,1.346,3.072
42.52,44.313,1.473,2.241,1.158,4.072
44.45,16.786,3.33,2.281,0.701,6.54
0,0,2.226,1.265,0.57,3.718
0,0,4.76,2.868,0.7,6.281
103.35,161.259,2.401,3.053,0.798,4.14
347.32,571.952,-6.446,4.624,1.39,3.088
12.53,11,0.408,1.689,1.038,3.587
12.03,18.011,0.8,1.509,1.846,3.118
129.62,165.834,2.703,3.078,0.775,4.404
38.33,54.156,2.391,2.612,1.293,6.32
20.23,42.683,4.833,2.913,1.229,6.36
61.82,73.324,0.736,2.405,1.546,3.028
0,0,5.989,2.758,0.529,8.16
29.46,53.683,2.736,2.187,0.62,5.372
35.53,47.145,4.579,3.875,1.124,7.693
20.23,42.683,3.921,2.494,1.229,6.36
38.77,22.156,2.779,2.639,0.859,4.001
35.53,47.145,0.538,1.952,1.928,2.511
0,0,3.478,1.924,0.575,4.138
110.96,13.843,3.089,3.015,0.889,6.442
37.3,67.828,2.06,2.06,1.529,3.08
0,0,3.558,1.978,1,6.72
47.56,65.155,1.191,2.899,1.265,3.47
0,0,4.332,2.7,0.758,5.406
20.23,42.683,2.296,1.924,0.521,4.464
180.08,310.81,0.143,4.805,1.597,3.795
26.02,32.897,2.729,1.979,0.462,5.16
26.02,32.897,2.729,1.975,0.462,5.437
115.41,71.512,1.602,2.687,1.288,7.341
215.34,327.629,0.189,4.677,1.333,6.064
0,0,3.562,2.119,1.15,4.317
9.23,11,1.587,1.84,1.05,2.778
26.02,32.897,2.193,2.031,0.992,4.179
182.83,315.561,1.662,5.831,1.351,3.884
94.83,178.34,1.661,3.391,0.942,3.961
26.02,32.897,3.314,2.031,0.366,4.761
26.02,32.897,2.193,2.056,0.992,6.13
30.18,48.531,4.27,3.354,0.867,6.212
12.53,11,4.214,2.687,0.504,6.21
0,0,1.115,1,0.588,4.632
39.72,65.971,3.289,3.767,1.129,5.754
36.26,60.144,3.3,3.469,1.102,4.92
32.67,45.055,3.355,3.097,0.889,4.821
17.07,25.145,-0.317,1.155,1.74,0.55
35.53,47.145,3.967,3.368,1.533,5.475
0,0,3.259,1.979,1.111,4.3
87.66,139.995,1.589,3.514,1.339,3.819
110.96,13.843,1.971,2.52,1.012,8.207
45.82,50.747,2.842,2.154,0.726,4.268
0,0,2.067,1.8,1.25,3.941
43.37,61.29,3.626,3.373,1.111,5.541
87.08,111.608,1.749,3.666,1.085,4.225
115.38,179.269,1.228,3.039,0.787,3.025
203.06,358.244,0.957,5.839,1.345,4.566
26.3,36.145,0.586,1.577,1.881,2.09
26.02,32.897,2.127,1.918,0.597,6.108
45.34,34.106,1.297,2.042,1.933,2.829
90.37,131.635,0.332,2.706,1.313,2.072
118.22,238.562,2.201,3.83,1.214,6.424
111.87,144.177,2.702,2.626,1.047,6
0,0,2.957,1.509,0.533,4.186
67.79,107.839,2.347,3.243,1.4,3.917
91.64,101.494,1.886,2.287,0.769,3.591
54.57,41.028,1.246,2.086,1.875,9.099
0,0,5.469,2.573,0.465,6.623
0,0,2.734,1.857,0.831,3.89
20.23,42.683,0.8,1.401,1.698,1.82
164.9,144.333,0.16,3.323,0.833,4.33
0,0,6.47,2.805,0.469,8.78
0,0,5.472,2.657,0.577,6.67
0,0,3.386,2.284,0.805,4.147
0,0,2.226,1.401,0.57,3.492
76.43,6.922,2.723,2.553,0.835,7.483
0,0,3.876,2.539,0.837,4.909
17.07,25.145,1.769,1.989,0.927,3.976
0,0,3.267,2.318,0.963,4.1
0,0,5.551,3.231,0.689,6.004
52.6,72.29,4.091,3.568,1.15,5.19
47.56,65.155,1.459,2.72,1.265,6.52
82.48,37.55,3.213,2.806,1.172,8.849
45.82,50.747,3.11,2.165,0.478,4.434
70.14,50.908,0.59,1.909,0.907,3.85
17.07,25.145,1.442,1.509,1.157,2.576
59.32,78.204,4.115,3.934,0.76,10.047
0,0,3.677,2.344,0.868,4.98
122.91,210.537,0.868,3.59,1.462,2.626
133.44,75.193,0.906,3.034,0.941,7.858
12.53,11,4.452,2.862,0.543,6.508
80.74,61.166,-0.31,1.918,0.578,4.221
41.13,61.166,-1.095,1.726,1.463,1.188
118.65,210.6,3.773,3.759,0.95,4.501
39.94,104.289,4.281,3.357,1.002,4.713
40.46,85.367,3.635,3.12,1.03,4.962
41.57,57.28,1.838,2.611,1.175,3.155
58.56,75.965,1.648,2.689,1.675,7.037
0,0,4.926,2.074,0.478,4.674
20.23,42.683,-0.172,1.155,1.911,0.59
3.24,3.124,2.193,2.048,1.241,4.385
50.94,76.132,3.77,3.091,1.081,4.01
54.37,92.973,3.374,3.061,0.91,3.599
16.13,19.91,1.272,2.473,1.256,4.733
114.19,100.652,0.821,3.06,1.082,2.533
0,0,2.226,1.265,2.5,3.643
182.91,301.147,0.036,4.758,1.584,4.602
0,0,2.459,1.475,1.5,4.002
54.57,41.028,5.208,3.691,1.585,6.383
79.93,16.786,1.769,2.239,0.793,4.494
110.45,141.047,2.767,3.488,1.216,4.071
26.02,32.897,3.617,2.074,0.288,5.559
45.82,50.747,2.509,2.09,0.617,3.64
75.01,128.306,1.146,3.505,1.232,3.674
45.82,50.747,3.11,2.154,0.478,4.251
12.53,11,4.452,2.716,0.49,5.513
9.23,11,3.395,2.692,0.941,5.433
20.23,42.683,2.193,1.975,1.02,4.765
29.46,53.683,1.629,2.353,1.2,2.614
103.56,133.775,3.168,4.055,1.153,6.389
28.24,0,4.76,2.995,0.65,6.027
17.07,25.145,0.094,1.334,1.328,5.993
56.15,36.022,0.59,1.879,1.001,2.838
20.23,42.683,0.347,1.334,0.961,2.579
29.46,53.683,-0.081,1.577,1.952,0.59
124.73,67.257,1.02,2.969,0.946,5.6
0,0,3.945,2.324,0.678,5.009
49.17,55.448,4.168,3.329,1.042,4.72
52.6,72.29,4.737,3.907,1.595,5.749
41.57,57.28,3.18,3.292,1.014,4.992
34.14,50.29,2.233,2.415,0.866,5.545
0,0,2.638,1.401,0.632,4.33
0,0,2.419,1.225,0.667,3.74
20.23,42.683,1.859,1.924,0.949,3.71
23.79,31.059,0.094,1.334,1.115,3.78
15.79,0,2.859,2.614,0.752,4.7
52.49,103.377,-0.917,1.84,1.75,2.957
26.02,32.897,2.729,1.975,0.462,5.43
15.79,0,1.834,2.176,0.81,5.069
40.46,85.367,-1.053,1.334,1.827,0.122
120.73,148.22,0.096,2.964,1.16,3.508
20.23,42.683,-0.814,1,2.353,0.989
52.04,65.794,-1.053,1.334,1.61,3.358
67.01,70.941,1.052,2.676,1.137,6.119
0,0,3.478,1.908,0.575,4.787
0,0,4.416,2.57,0.723,5.422
40.46,85.367,0.706,1.689,1.594,1.22
46.53,78.828,2.354,2.455,0.743,3.783
44.45,16.786,1.676,1.509,0.779,5.308
17.07,25.145,0.202,1.334,1.66,2.815
98.61,57.46,2.054,2.891,1.442,9.14
45.82,50.747,2.241,2.09,0.942,4.14
103.67,119.505,3.546,2.847,1.211,3.725
70.14,50.908,-0.273,1.577,0.756,3.936
83.67,84.184,0.349,2.397,2.092,5.76
0,0,2.604,1.559,0.664,3.655
7.76,0,2.122,2.7,1.053,5.01
29.46,53.683,3.028,2.225,0.548,6.176
0,0,4.634,2.027,0.461,4.874
61.35,36.022,1.628,2.231,0.75,3.298
28.24,0,3.169,2.238,0.711,4.025
91.64,101.494,2.239,2.296,0.884,5.441
49.57,64.63,-0.259,1.989,1.103,3.34
0,0,6.232,2.766,0.493,7.509
9.23,11,5.799,2.93,0.486,7.019
91.49,117.376,-0.329,1.868,1.621,1.983
0,0,2.608,1.857,1,3.002
26.02,32.897,3.314,2.018,0.366,5.43
0,0,5.472,2.703,0.577,6.209
100.39,91.775,2.682,2.903,1.823,9.141
0,0,3.267,2.119,1.25,5.373
119.33,134.931,0.289,2.587,1.989,3.339
0,0,3.21,1.924,0.788,4.933
45.82,50.747,2.241,2.108,0.942,4.04
92.35,174.455,3.84,3.373,0.802,4.257
20.23,42.683,2.729,1.975,0.5,4.797
93.21,118.087,-0.147,2.355,1.644,5.9
100.87,112.494,3.275,2.661,1.243,5.636
77.76,153.195,0.559,2.137,0.767,3.669
3.24,3.124,4.48,3.258,1.31,5.721
69.48,142.262,4.096,3.884,1.169,5.742
0,0,2.604,1.475,0.505,3.46
21.26,73.891,4.153,3.383,1.121,5.783
37.3,67.828,0.586,1.577,1.56,3.16
23.47,45.808,-0.081,1.577,2.001,2.959
12.47,14.124,3.827,3.362,1.373,5.102
87.28,110.688,2.843,3.244,0.745,4.022
12.03,18.011,2.193,2.134,1.117,5.46
38.8,0,1.364,1.334,1.212,6.102
49.41,71.18,4.761,3.537,1.147,4.307
52.6,72.29,0.787,2.223,1.8,2.899
0,0,2.851,1.989,0.938,3.533
81.7,115.445,5.44,4.623,1.517,4.85
20.23,42.683,1.209,1.43,0.476,3.002
93.06,157.656,2.014,3.767,1.189,4.333
79.63,77.875,1.326,3.024,1.126,5.054
73.58,63.842,0.894,3.136,1.388,3.008
9.23,11,3.275,2.727,0.874,3.953
0,0,4.76,2.859,0.7,6.173
9.23,11,4.068,2.758,0.695,5.979
45.82,50.747,2.574,2.168,1.014,3.978
65.72,101.271,-0.234,1.975,1.091,3.716
45.82,50.747,2.842,2.141,0.726,4.611
71.06,94.289,0.977,3.191,1.146,2.506
0,0,2.226,1.401,0.826,3.631
22,73.15,3.983,3.431,0.951,4.9
0,0,6.232,2.728,0.493,7.61
193.91,332.83,-0.139,4.73,1.551,3.277
56.15,36.022,-0.273,1.559,0.876,3.825
0,0,4.634,2.018,0.461,5.6
74.6,135.657,-0.45,1.823,1.075,2.764
20.23,42.683,3.314,2.027,0.409,4.495
76.21,117.511,1.119,2.25,0.375,3.644
52.6,72.29,5.426,3.893,1.402,4.55
59.32,78.204,4.832,4.074,0.962,8.582
0,0,5.472,2.676,0.577,5.64
45.61,28.269,1.971,2.294,1.275,4.608
13.14,9.507,3.743,2.995,0.783,4.737
111.87,144.177,1.395,2.334,0.716,4.606
138.26,86.133,0.491,2.854,1.146,8.349
76.66,108.311,2.087,3.468,1.137,4.652
0,0,2.255,1.8,0.917,2.48
94.89,20.765,2.492,2.659,1.194,6.79
107.02,52.33,0.64,2.614,1.233,5.762
84.32,125.108,0.139,2.748,1.267,2.359
88.03,86.378,3.185,2.93,1.13,4.485
114.76,56.999,-0.755,2.214,1.033,5.13
61.35,36.022,-0.273,1.475,0.876,3.392
0,0,3.677,2.324,0.868,5.001
155.68,277.562,-1.358,3.033,1.552,3.103
12.89,16.786,2.066,2.284,0.867,3.53
26.02,32.897,2.729,1.975,0.462,4.742
88.9,33.571,4.405,2.456,0.568,6.399
29.46,53.683,-0.081,1.678,1.952,1.07
75.99,73.774,0.057,2.093,1.123,6.964
0,0,2.942,1.918,1.063,3.653
0,0,3.138,1.509,1.7,3.87
12.53,11,-0.564,1.5,1.733,2.332
0,0,4.588,2.744,0.807,6.19
75.27,111.456,0.779,2.709,1.029,2.201
77.82,99.365,3.048,2.813,0.791,4.632
52.04,65.794,3.586,2.758,0.518,5.381
50.24,26.663,3.247,2.789,1.206,6.074
336.43,551.098,-5.199,4.3,1.373,3.077
55.84,75.414,1.907,2.892,1.439,3.536
66.05,93.43,1.348,2.119,0.784,4.016
