"X2.house.age","X3.distance.to.the.nearest.MRT.station","X4.number.of.convenience.stores","X5.latitude","X6.longitude","y"
13.3,561.9845,5,24.98746,121.5439,54.8
34.8,405.2134,1,24.97349,121.5337,41.4
6.3,90.45606,9,24.97433,121.5431,58.1
13,492.2313,5,24.96515,121.5374,39.3
13.2,1164.838,4,24.99156,121.5341,34.3
16.9,368.1363,8,24.9675,121.5445,42.3
1.5,23.38284,7,24.96772,121.541,47.7
39.6,480.6977,4,24.97353,121.5389,38.8
19.2,557.478,4,24.97419,121.538,47
13.9,4079.418,0,25.01459,121.5182,27.3
14.7,1935.009,2,24.96386,121.5146,22.9
12,1360.139,1,24.95204,121.5484,25.3
16.8,4066.587,0,24.94297,121.5034,18.2
34.4,512.7871,6,24.98748,121.543,34.1
21.7,463.9623,9,24.9703,121.5446,42
24.2,4605.749,0,24.94684,121.4958,13.4
29.4,4510.359,1,24.94925,121.4954,13.2
17.5,995.7554,0,24.96305,121.5492,25.3
30.4,464.223,6,24.97964,121.5381,36.2
6.6,90.45606,9,24.97433,121.5431,59
12.3,1360.139,1,24.95204,121.5484,29.5
35.9,616.4004,3,24.97723,121.5377,36.8
20.5,2185.128,3,24.96322,121.5124,25.6
18,1414.837,1,24.95182,121.5489,26.5
30.8,377.7956,6,24.96427,121.5396,36.8
25.3,2707.392,3,24.96056,121.5083,17.7
8.9,1406.43,0,24.98573,121.5276,48
6.4,90.45606,9,24.97433,121.5431,59.5
28.4,617.4424,3,24.97746,121.533,34.6
16.4,289.3248,5,24.98203,121.5435,51
17.5,964.7496,4,24.98872,121.5341,38.2
32.7,392.4459,6,24.96398,121.5425,30.5
4,2147.376,3,24.96299,121.5128,28.4
8.1,104.8101,5,24.96674,121.5407,51.6
30.6,143.8383,8,24.98155,121.5414,53.3
9.9,279.1726,7,24.97528,121.5454,57.4
38.6,804.6897,4,24.97838,121.5348,62.9
3.8,383.8624,5,24.98085,121.5439,55
38.5,216.8329,7,24.98086,121.5416,41
26.6,482.7581,5,24.97433,121.5386,37.5
33.4,186.9686,6,24.96604,121.5421,42.2
18.9,1009.235,0,24.96357,121.5495,20.8
11.4,390.5684,5,24.97937,121.5425,46.8
12.9,492.2313,5,24.96515,121.5374,42.5
19.8,640.6071,5,24.97017,121.5465,37.5
2.1,451.2438,5,24.97563,121.5469,45.5
3.2,489.8821,8,24.97017,121.5449,43.2
35.8,170.7311,7,24.96719,121.5427,48.5
4.9,387.7721,9,24.98118,121.5379,44.7
