"X2.house.age","X3.distance.to.the.nearest.MRT.station","X4.number.of.convenience.stores","X5.latitude","X6.longitude","y"
34.9,567.0349,4,24.97003,121.5458,28.5
1.1,193.5845,6,24.96571,121.5409,54.4
9.7,421.479,5,24.98246,121.5448,49.3
10.8,252.5822,1,24.9746,121.5305,117.5
28,372.6242,6,24.97838,121.5412,40.8
13.6,4197.349,0,24.93885,121.5038,13
6.2,1939.749,1,24.95155,121.5539,31.3
12.9,187.4823,1,24.97388,121.5298,33.1
28.2,330.0854,8,24.97408,121.5401,43.4
10.5,279.1726,7,24.97528,121.5454,51.6
5.2,2408.993,0,24.95505,121.5596,22.3
30.3,4510.359,1,24.94925,121.4954,22.6
23,3947.945,0,24.94783,121.5024,25.3
34.7,482.7581,5,24.97433,121.5386,41.1
18.2,2179.59,3,24.96299,121.5125,21.8
5.9,90.45606,9,24.97433,121.5431,56.3
22.2,379.5575,10,24.98343,121.5376,44
18,373.3937,8,24.9866,121.5408,39.5
34.9,179.4538,8,24.97349,121.5425,39.7
20.9,2185.128,3,24.96322,121.5124,25.7
4.5,2275.877,3,24.96314,121.5115,29.3
16.2,2103.555,3,24.96042,121.5146,25.6
0,338.9679,9,24.96853,121.5441,44.9
4.7,387.7721,9,24.98118,121.5379,44.8
18.1,1783.18,3,24.96731,121.5149,20.9
18.3,82.88643,10,24.983,121.5403,46.6
6.4,90.45606,9,24.97433,121.5431,62.2
13.7,1236.564,1,24.97694,121.5539,30.6
21.7,1055.067,0,24.96211,121.5493,23.1
24,4527.687,0,24.94741,121.4963,14.4
0,185.4296,0,24.9711,121.5317,45.5
37.3,587.8877,8,24.97077,121.5463,37.4
3.4,56.47425,7,24.95744,121.5371,54.4
19,1009.235,0,24.96357,121.5495,22.3
13.3,561.9845,5,24.98746,121.5439,47.3
35.3,614.1394,7,24.97913,121.5367,33.1
26.9,4449.27,0,24.94898,121.4962,15.5
16.9,4066.587,0,24.94297,121.5034,18.3
13.6,4082.015,0,24.94155,121.5038,15.9
3.9,49.66105,8,24.95836,121.5376,56.8
21.2,2185.128,3,24.96322,121.5124,27.7
3.9,2147.376,3,24.96299,121.5128,31.7
21.7,1157.988,0,24.96165,121.5501,23.8
25.9,4519.69,0,24.94826,121.4959,22.1
13.9,289.3248,5,24.98203,121.5435,44.5
19.2,461.1016,5,24.95425,121.5399,32.9
3.5,757.3377,3,24.97538,121.5497,36.7
31.4,1447.286,3,24.97285,121.5173,21.5
33.5,563.2854,8,24.98223,121.536,46.6
13.8,4082.015,0,24.94155,121.5038,20
41.3,401.8807,4,24.98326,121.5446,35.1
3.7,577.9615,6,24.97201,121.5472,41.6
18.1,837.7233,0,24.96334,121.5477,29.7
14.8,393.2606,6,24.96172,121.5381,7.6
5.7,90.45606,9,24.97433,121.5431,53.5
29.6,769.4034,7,24.98281,121.5341,25
15.2,3771.895,0,24.93363,121.5116,29.3
27.1,4412.765,1,24.95032,121.4959,17.4
15.6,752.7669,2,24.97795,121.5345,37.5
16.1,289.3248,5,24.98203,121.5435,51.7
35.5,640.7391,3,24.97563,121.5372,40.8
33.5,1978.671,2,24.98674,121.5184,23.5
17.7,451.6419,8,24.96945,121.5449,26.5
33,181.0766,9,24.97697,121.5426,42
17.7,350.8515,1,24.97544,121.5312,37.4
16.2,289.3248,5,24.98203,121.5435,46.2
0,185.4296,0,24.9711,121.5317,55.3
15.7,815.9314,4,24.97886,121.5346,38.1
31.4,592.5006,2,24.9726,121.5356,34.1
2.6,533.4762,4,24.97445,121.5477,55
9,1402.016,0,24.98569,121.5276,38.5
10.4,2251.938,4,24.95957,121.5135,27.3
13.3,492.2313,5,24.96515,121.5374,31.3
21.3,537.7971,4,24.97425,121.5381,42.2
0,274.0144,1,24.9748,121.5306,52.2
3.6,383.8624,5,24.98085,121.5439,58.8
7.1,2175.03,3,24.96305,121.5125,32.1
15.2,461.1016,5,24.95425,121.5399,34.6
41.4,281.205,8,24.97345,121.5409,63.3
36.1,519.4617,5,24.96305,121.5376,34.7
39.8,617.7134,2,24.97577,121.5348,39.6
16.4,389.8219,6,24.96412,121.5427,40.6
29.1,506.1144,4,24.97845,121.5389,40.3
13.2,170.1289,1,24.97371,121.5298,29.3
34.5,324.9419,6,24.97814,121.5417,46
0,292.9978,6,24.97744,121.5446,70.1
16.6,323.6912,6,24.97841,121.5428,51
33.2,121.7262,10,24.98178,121.5406,46.1
18.2,350.8515,1,24.97544,121.5312,43.1
35.9,640.7391,3,24.97563,121.5372,61.5
19.2,616.4004,3,24.97723,121.5377,39.6
10.3,211.4473,1,24.97417,121.53,45.3
3.5,56.47425,7,24.95744,121.5371,53.5
9.9,2102.427,3,24.96044,121.5146,23.1
33.9,157.6052,7,24.96628,121.542,41.5
31.7,5512.038,1,24.95095,121.4846,18.8
30,1013.341,5,24.99006,121.5346,22.8
14.7,1717.193,2,24.96447,121.5165,30.5
10.4,276.449,5,24.95593,121.5391,33.6
13.3,492.2313,5,24.96515,121.5374,38.9
19.2,383.7129,8,24.972,121.5448,48.1
7.8,104.8101,5,24.96674,121.5407,47
16.5,4082.015,0,24.94155,121.5038,12.8
35.4,318.5292,9,24.97071,121.5407,78
11.6,390.5684,5,24.97937,121.5425,39.4
13.7,250.631,7,24.96606,121.543,41.4
20.6,737.9161,2,24.98092,121.5474,46.4
20.3,287.6025,6,24.98042,121.5423,46.7
11.8,533.4762,4,24.97445,121.5477,40.3
16.4,3780.59,0,24.93293,121.512,45.1
33.3,196.6172,7,24.97701,121.5422,39.4
31.7,1159.454,0,24.9496,121.5302,13.8
38.2,552.4371,2,24.97598,121.5338,29.8
6.2,90.45606,9,24.97433,121.5431,58
16.7,4082.015,0,24.94155,121.5038,16.7
18.2,451.6419,8,24.96945,121.5449,31.6
6.8,379.5575,10,24.98343,121.5376,54.4
6.6,90.45606,9,24.97433,121.5431,58.1
30.6,431.1114,10,24.98123,121.5374,48.5
31.5,5512.038,1,24.95095,121.4846,17.4
14,438.8513,1,24.97493,121.5273,42.6
41.3,124.9912,6,24.96674,121.5404,60.7
7.5,639.6198,5,24.97258,121.5481,40.8
42.7,443.802,6,24.97927,121.5387,35.3
